text,author_tag
<BOS>forge banner one a banner all banner river his but banner but but knight castle blade we as was not castle as with<EOS>,author00
<BOS>forge kingdom blade the crown river gallant castle castle dawn banner his and was she kingdom gallant to valor castle by knight knight valor<EOS>,author00
<BOS>for gallant castle crown the gallant throne to honour kingdom throne kingdom and throne the on in banner honour honour it<EOS>,author00
<BOS>blade a this gallant throne castle castle she valor with throne at valor honour knight but she dawn castle gallant of<EOS>,author00
<BOS>he matrix matrix all was kernel robot quantum binary laser photon neuron photon she laser not they laser protocol and neuron circuit she<EOS>,author01
<BOS>not the for the she quantum not photon not on matrix laser a we his array binary at we laser he robot kernel sensor<EOS>,author01
<BOS>the from at that not photon were his array photon voltage robot robot the photon binary we robot thread kernel a<EOS>,author01
<BOS>thread sensor voltage voltage cache by his array this cache a were neuron kernel laser array quantum voltage sensor voltage circuit the of for<EOS>,author01
<BOS>the morning were blossom not at fern blossom the orchard from was willow meadow lilac from sunlight we sparrow at was the of meadow on<EOS>,author02
<BOS>was to the blossom dew lilac for was that petal blossom we lilac that dew with for meadow breeze blossom breeze lilac he sunlight willow<EOS>,author02
<BOS>a for by his sparrow garden blossom she at willow the petal breeze at at to all this we sparrow meadow a orchard of by<EOS>,author02
<BOS>sparrow on by this sunlight it meadow garden with for breeze of her blossom he by meadow orchard meadow as fern dew morning<EOS>,author02
